account_id,name,name_kana,rank,category,billing_address,geo_lat,geo_lng,phone,main_contact_name,main_contact_role,last_visit_at,owner_id,note
acc-001,居酒屋 とまり木,イザカヤトマリギ,A,居酒屋,宮城県仙台市青葉区国分町2-8-15,38.2612,140.8719,022-222-1001,田中 健一,店長,2026-04-10,usr-01,米・地場野菜の定期納品先。新メニュー検討中
acc-002,和食 瑞鳳,ワショクズイホウ,A,割烹,宮城県仙台市青葉区一番町3-6-1,38.2625,140.8712,022-222-1002,佐々木 真一,料理長,2026-04-15,usr-01,ササニシキ定期納品。試食提案フェーズ
acc-003,ビストロ ソレイユ,ビストロソレイユ,B,レストラン,宮城県仙台市青葉区木町通2-3-7,38.2701,140.8675,022-222-1003,高橋 麻衣,オーナーシェフ,2026-02-28,usr-01,ひとめぼれブランド米の可能性を議論中
acc-004,宮城野給食センター,ミヤギノキュウショクセンター,A,給食,宮城県仙台市宮城野区鶴ケ谷1-2-3,38.2908,140.9195,022-252-1004,栄養士 佐藤 明子,管理栄養士,2026-04-17,usr-02,アレルギー対応米の問い合わせ中。年間契約
acc-005,ホテル松島ビュー,ホテルマツシマビュー,A,宿泊,宮城県宮城郡松島町松島字町内77,38.3702,141.0648,022-354-1005,支配人 阿部,支配人,2026-03-12,usr-01,朝食ビュッフェ用米の大口契約
acc-006,スーパーフレッシュ泉店,スーパーフレッシュイズミテン,B,小売,宮城県仙台市泉区泉中央1-1-2,38.3169,140.8842,022-372-1006,青果バイヤー 小林,バイヤー,2026-04-18,usr-02,PB米の契約更新済み。野菜拡大余地あり
acc-007,道の駅 村田,ミチノエキムラタ,C,道の駅,宮城県柴田郡村田町村田字土内4,38.1196,140.7381,0224-82-1007,物産担当 菅原,物産担当,2025-12-05,usr-02,出品系。月次発注のみ。要フォロー
acc-008,パン工房 麦の香,パンコウボウムギノカ,B,製造小売,宮城県仙台市太白区長町5-3-21,38.2288,140.8788,022-249-1008,オーナー 伊藤,代表,2026-04-20,usr-01,小麦の別ルート確保を相談中
acc-009,旅館 ゆのはま,リョカンユノハマ,A,宿泊,宮城県仙台市太白区秋保町湯元字舘74,38.2321,140.7131,022-398-1009,女将 遠藤,女将,2026-03-20,usr-02,季節懐石の食材提案フェーズ
acc-010,焼肉 大吉,ヤキニクダイキチ,A,焼肉,宮城県仙台市若林区荒町45,38.2548,140.8854,022-224-1010,店長 小野寺,店長,2025-11-14,usr-01,半年近く未訪問。A ランク停滞Account（デモの赤ピン候補）
